
********** Community [6] ************

Id: 2730, Community ID: 11, Is Centroid: False

Id: 3364, Community ID: 11, Is Centroid: False

Id: 3413, Community ID: 11, Is Centroid: False

Id: 3499, Community ID: 11, Is Centroid: False

Id: 3596, Community ID: 11, Is Centroid: False

Id: 3752, Community ID: 11, Is Centroid: False

Id: 3869, Community ID: 11, Is Centroid: False

Id: 3891, Community ID: 11, Is Centroid: False

Id: 3952, Community ID: 11, Is Centroid: False

Id: 4001, Community ID: 11, Is Centroid: False

Id: 4292, Community ID: 11, Is Centroid: False

Id: 4319, Community ID: 11, Is Centroid: False

Id: 4456, Community ID: 11, Is Centroid: False

Id: 4548, Community ID: 11, Is Centroid: False

Id: 4655, Community ID: 11, Is Centroid: False

Id: 4656, Community ID: 11, Is Centroid: False

Id: 4728, Community ID: 11, Is Centroid: False

Id: 4979, Community ID: 11, Is Centroid: False

Id: 5004, Community ID: 11, Is Centroid: False

Id: 5447, Community ID: 11, Is Centroid: False

Id: 5472, Community ID: 11, Is Centroid: False

Id: 5488, Community ID: 11, Is Centroid: False

Id: 5517, Community ID: 11, Is Centroid: False

Id: 5527, Community ID: 11, Is Centroid: False

Id: 5536, Community ID: 11, Is Centroid: False

Id: 5743, Community ID: 11, Is Centroid: False

Id: 5877, Community ID: 11, Is Centroid: False

Id: 5988, Community ID: 11, Is Centroid: False

Id: 6085, Community ID: 11, Is Centroid: False

Id: 6352, Community ID: 11, Is Centroid: False

Id: 6375, Community ID: 11, Is Centroid: False

********** Community [13] ************

Id: 13, Community ID: 13, Is Centroid: False

Id: 14, Community ID: 13, Is Centroid: False

Id: 1778, Community ID: 13, Is Centroid: False

Id: 1999, Community ID: 13, Is Centroid: False

Id: 6455, Community ID: 13, Is Centroid: False

Id: 6458, Community ID: 13, Is Centroid: False

Id: 6460, Community ID: 13, Is Centroid: True

Id: 6461, Community ID: 13, Is Centroid: False

Id: 6463, Community ID: 13, Is Centroid: False

Id: 6464, Community ID: 13, Is Centroid: False

Id: 6467, Community ID: 13, Is Centroid: False

Id: 6469, Community ID: 13, Is Centroid: False

Id: 6471, Community ID: 13, Is Centroid: False

Id: 6472, Community ID: 13, Is Centroid: False

Id: 6473, Community ID: 13, Is Centroid: False

Id: 6474, Community ID: 13, Is Centroid: False

Id: 6475, Community ID: 13, Is Centroid: False

Id: 6477, Community ID: 13, Is Centroid: False

Id: 6478, Community ID: 13, Is Centroid: False

********** Community [15] ************

Id: 15, Community ID: 15, Is Centroid: False

Id: 778, Community ID: 15, Is Centroid: True

Id: 850, Community ID: 15, Is Centroid: False

Id: 1102, Community ID: 15, Is Centroid: False

Id: 3127, Community ID: 15, Is Centroid: False

Id: 3128, Community ID: 15, Is Centroid: False

Id: 3448, Community ID: 15, Is Centroid: False

Id: 3941, Community ID: 15, Is Centroid: False

Id: 4872, Community ID: 15, Is Centroid: False

********** Community [16] ************

Id: 16, Community ID: 16, Is Centroid: False

Id: 278, Community ID: 16, Is Centroid: False

Id: 395, Community ID: 16, Is Centroid: False

Id: 396, Community ID: 16, Is Centroid: False

Id: 397, Community ID: 16, Is Centroid: False

Id: 398, Community ID: 16, Is Centroid: False

Id: 522, Community ID: 16, Is Centroid: False

Id: 557, Community ID: 16, Is Centroid: False

Id: 606, Community ID: 16, Is Centroid: False

Id: 767, Community ID: 16, Is Centroid: False

Id: 875, Community ID: 16, Is Centroid: False

Id: 1125, Community ID: 16, Is Centroid: False

Id: 1145, Community ID: 16, Is Centroid: False

Id: 1365, Community ID: 16, Is Centroid: False

Id: 1453, Community ID: 16, Is Centroid: False

Id: 1587, Community ID: 16, Is Centroid: False

Id: 1783, Community ID: 16, Is Centroid: False

Id: 1864, Community ID: 16, Is Centroid: False

Id: 1876, Community ID: 16, Is Centroid: False

