
********** Community [11] ************

********** Community [165] ************

Id: 165, Community ID: 165, Is Centroid: False

Id: 1151, Community ID: 165, Is Centroid: True

Id: 1725, Community ID: 165, Is Centroid: False

Id: 1785, Community ID: 165, Is Centroid: False

Id: 1875, Community ID: 165, Is Centroid: False

Id: 3614, Community ID: 165, Is Centroid: False

Id: 3615, Community ID: 165, Is Centroid: False

Id: 4561, Community ID: 165, Is Centroid: False

Id: 5421, Community ID: 165, Is Centroid: False

Id: 5798, Community ID: 165, Is Centroid: False

********** Community [166] ************

Id: 166, Community ID: 166, Is Centroid: True

Id: 802, Community ID: 166, Is Centroid: False

Id: 1263, Community ID: 166, Is Centroid: False

Id: 1936, Community ID: 166, Is Centroid: False

Id: 2857, Community ID: 166, Is Centroid: False

Id: 4303, Community ID: 166, Is Centroid: False

Id: 5316, Community ID: 166, Is Centroid: False

********** Community [174] ************

Id: 174, Community ID: 174, Is Centroid: True

Id: 519, Community ID: 174, Is Centroid: False

Id: 1419, Community ID: 174, Is Centroid: False

Id: 4467, Community ID: 174, Is Centroid: False

Id: 4601, Community ID: 174, Is Centroid: False

Id: 5343, Community ID: 174, Is Centroid: False

Id: 5916, Community ID: 174, Is Centroid: False

********** Community [176] ************

Id: 176, Community ID: 176, Is Centroid: False

Id: 240, Community ID: 176, Is Centroid: False

Id: 1530, Community ID: 176, Is Centroid: True

Id: 1570, Community ID: 176, Is Centroid: False

Id: 3088, Community ID: 176, Is Centroid: False

Id: 5009, Community ID: 176, Is Centroid: False

Id: 5658, Community ID: 176, Is Centroid: False

********** Community [180] ************

Id: 180, Community ID: 180, Is Centroid: False

Id: 181, Community ID: 180, Is Centroid: False

Id: 206, Community ID: 180, Is Centroid: False

Id: 846, Community ID: 180, Is Centroid: False

Id: 857, Community ID: 180, Is Centroid: False

Id: 2102, Community ID: 180, Is Centroid: False

Id: 3151, Community ID: 180, Is Centroid: True

Id: 3176, Community ID: 180, Is Centroid: False

Id: 4267, Community ID: 180, Is Centroid: False

